gstin,due_date,actual_filing_date,turnover
29ABCDE1002Z2,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,39638.33061804911
29ABCDE1003Z3,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,576014.6909659287
29ABCDE1004Z4,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,32580.249890243584
29ABCDE1008Z8,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,36752.69337197206
29ABCDE1010Z0,2024-01-31 23:59:59.999999,2024-02-06 23:59:59.999999,323505.48445178353
29ABCDE1012Z2,2024-01-31 23:59:59.999999,2024-02-16 23:59:59.999999,107326.96039122937
29ABCDE1016Z6,2024-01-31 23:59:59.999999,2024-02-23 23:59:59.999999,151030.48873658723
29ABCDE1017Z7,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,56380.79901759974
29ABCDE1019Z9,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,221894.99650905028
29ABCDE1020Z0,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,42762.15039672109
29ABCDE1021Z1,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,31243.122530865392
29ABCDE1025Z5,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,68198.36291180727
29ABCDE1026Z6,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,77527.47781950672
29ABCDE1028Z8,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,43969.12926772137
29ABCDE1029Z9,2024-01-31 23:59:59.999999,2024-02-09 23:59:59.999999,112253.6383302506
29ABCDE1030Z0,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,45717.213890053645
29ABCDE1033Z3,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,35507.28066102463
29ABCDE1034Z4,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,58481.15159089068
29ABCDE1035Z5,2024-01-31 23:59:59.999999,2024-02-24 23:59:59.999999,117180.5939272637
29ABCDE1037Z7,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,68783.4065594174
29ABCDE1039Z9,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,40220.590578860676
29ABCDE1040Z0,2024-01-31 23:59:59.999999,2024-02-22 23:59:59.999999,63664.27278183548
29ABCDE1041Z1,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,60035.14800187793
29ABCDE1043Z3,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,59173.09118970995
29ABCDE1044Z4,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,86356.07620314766
29ABCDE1045Z5,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,134039.81332817522
29ABCDE1046Z6,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,28606.917692804436
29ABCDE1047Z7,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,65003.199255616135
29ABCDE1049Z9,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,127590.98446291545
29ABCDE1050Z0,2024-01-31 23:59:59.999999,2024-02-23 23:59:59.999999,46878.918033553164
29ABCDE1051Z1,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,36985.12022751473
29ABCDE1054Z4,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,177947.57448036378
29ABCDE1055Z5,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,67525.31299533365
29ABCDE1056Z6,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,48932.69517214537
29ABCDE1057Z7,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,399114.7026171721
29ABCDE1059Z9,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,43927.08050184743
29ABCDE1060Z0,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,125995.51564036372
29ABCDE1061Z1,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,40753.77207685843
29ABCDE1062Z2,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,33443.258655505764
29ABCDE1066Z6,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,44644.04937471135
29ABCDE1068Z8,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,82570.10925695961
29ABCDE1069Z9,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,134375.578848406
29ABCDE1073Z3,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,156909.2075172067
29ABCDE1074Z4,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,50906.105787906876
29ABCDE1076Z6,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,74619.69687383034
29ABCDE1082Z2,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,51812.240269716625
29ABCDE1083Z3,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,156512.2030066934
29ABCDE1084Z4,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,549008.3800602128
29ABCDE1089Z9,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,125284.92432246644
29ABCDE1090Z0,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,87413.53626536558
29ABCDE1092Z2,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,42128.23950413623
29ABCDE1093Z3,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,41190.42898582825
29ABCDE1098Z8,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,235070.0199019515
29ABCDE1099Z9,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,388226.49483785586
29ABCDE1100Z0,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,148194.23024411077
29ABCDE1102Z2,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,481346.74808131333
29ABCDE1103Z3,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,269671.8931127647
29ABCDE1110Z0,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,25938.811584078026
29ABCDE1112Z2,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,353063.63258257014
29ABCDE1113Z3,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,141824.5341521916
29ABCDE1115Z5,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,444642.03409192787
29ABCDE1119Z9,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,50552.69395316557
29ABCDE1121Z1,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,174029.23608906564
29ABCDE1122Z2,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,43088.14608280996
29ABCDE1123Z3,2024-01-31 23:59:59.999999,2024-01-31 23:59:59.999999,179795.4113186299
29ABCDE1125Z5,2024-01-31 23:59:59.999999,2024-02-16 23:59:59.999999,71847.17961029465
